Date,Type
02-Jan-2022,Snowmelt
03-Jan-2022,Snowmelt
04-Jan-2022,Snowmelt
07-Jan-2022,Snowmelt
08-Jan-2022,Snowmelt
10-Jan-2022,Snowmelt
29-Jan-2022,Snowmelt
01-Feb-2022,Snowmelt
08-Feb-2022,Snowmelt
18-Feb-2022,Snowmelt
27-Feb-2022,Snowmelt
12-Mar-2022,Snowmelt
19-Mar-2022,Snowmelt
03-Apr-2022,Baseflow
16-Apr-2022,Baseflow
18-May-2022,Baseflow
15-Jun-2022,Baseflow
22-Jun-2022,Baseflow
29-Jun-2022,Baseflow
12-Jul-2022,Baseflow
20-Jul-2022,Baseflow
15-Aug-2022,Baseflow
04-May-2022,Rain
21-May-2022,Rain
25-Jul-2022,Rain
16-Aug-2022,Rain
18-Aug-2022,Rain
22-Sep-2022,Rain
30-Sep-2022,Baseflow
30-Oct-2022,Baseflow
28-Nov-2022,Baseflow
